provisioning_delay_epochs,miss_to_action_cost_ratio,best_policy,best_cost
0,1,no_action,0.2182
0,2,reactive,0.38380000000000003
0,5,reactive,0.634
0,10,delay_aware_hybrid,0.8887999999999999
0,20,always_on,1.0
0,50,always_on,1.0
0,100,always_on,1.0
1,1,no_action,0.2182
1,2,reactive,0.4218
1,5,reactive,0.732
1,10,always_on,1.0
1,20,always_on,1.0
1,50,always_on,1.0
1,100,always_on,1.0
2,1,no_action,0.2182
2,2,no_action,0.4364
2,5,reactive,0.8066
2,10,always_on,1.0
2,20,always_on,1.0
2,50,always_on,1.0
2,100,always_on,1.0
3,1,no_action,0.2182
3,2,no_action,0.4364
3,5,reactive,0.8398
3,10,always_on,1.0
3,20,always_on,1.0
3,50,always_on,1.0
3,100,always_on,1.0
