provider,threshold_quantile,threshold,window_minutes,model,feature_set,train_n,test_n,test_events,average_precision,brier,mean_log_score,roc_auc,calibration_intercept,calibration_slope
Google 2019,0.95,0.528999460609866,60,logistic,prior,469,202,36,0.1782178217821782,0.1465384744676369,-0.4689688547030782,0.5,0.01788909989737473,0.9715311846794014
Google 2019,0.95,0.528999460609866,60,logistic,persistence,469,202,36,0.586012887002986,0.09359839610740411,-0.32222313122786256,0.8340026773761714,1.2300279721250849,1.8669125319126634
Google 2019,0.95,0.528999460609866,60,logistic,snapshot,469,202,36,0.5765940583570455,0.12777148535110924,-0.42194106569594714,0.7245649263721552,1.5016251941562277,2.002409841666987
Google 2019,0.95,0.528999460609866,60,logistic,two_snapshots,469,202,36,0.6425115209516614,0.10740469104659911,-0.3692066044960562,0.7961847389558233,0.44876823962682455,1.4671841666655066
Google 2019,0.95,0.528999460609866,60,logistic,maximum,469,202,36,0.7874272802737837,0.08488746284324762,-0.3060552691048379,0.8820281124497991,0.7685227122204841,1.7473348518933167
Google 2019,0.95,0.528999460609866,60,logistic,count,469,202,36,0.7186915178154911,0.07957721566234376,-0.2944412213523844,0.8462182061579652,0.37441980440766226,1.4891794059293384
Google 2019,0.95,0.528999460609866,60,logistic,maximum_event,469,202,36,0.7874272802737837,0.08267768088925466,-0.29728464685031347,0.8820281124497991,0.7863084928217782,1.6810781265431503
Google 2019,0.95,0.528999460609866,60,logistic,maximum_count,469,202,36,0.8036145023272337,0.07529795183571326,-0.2797762761375038,0.8838688085676037,0.3424788016138806,1.468856744563472
Google 2019,0.95,0.528999460609866,60,logistic,satcap,469,202,36,0.8036145023272337,0.07520602995029863,-0.27932596918968006,0.8838688085676037,0.46501096004229825,1.5141256126573952
Google 2019,0.95,0.528999460609866,60,hist_gradient_boosting,prior,469,202,36,0.1782178217821782,0.1465384744676369,-0.4689688547030782,0.5,0.01788909989737473,0.9715311846794014
Google 2019,0.95,0.528999460609866,60,hist_gradient_boosting,persistence,469,202,36,0.586012887002986,0.09323206521440333,-0.3213183084795074,0.8340026773761714,1.2028283773506434,1.8478574553186269
Google 2019,0.95,0.528999460609866,60,hist_gradient_boosting,snapshot,469,202,36,0.4864500860043676,0.12399989543625833,-0.40751247876318075,0.7391231593038821,0.3411753894368769,1.1944851063341726
Google 2019,0.95,0.528999460609866,60,hist_gradient_boosting,two_snapshots,469,202,36,0.6768140400379894,0.0945064949096323,-0.3287226576140959,0.8329149933065596,0.23796278944668664,1.218688578944582
Google 2019,0.95,0.528999460609866,60,hist_gradient_boosting,maximum,469,202,36,0.7409839245007763,0.08240114440981511,-0.29267923344977365,0.8797690763052208,0.3018112388875255,1.2920469139095436
