provider,model,comparison,ap_difference,moving_block_ci_low,moving_block_ci_high,block_length_transitions,bootstrap_replicates
Google 2019,logistic,satcap_minus_persistence,0.2176016153242477,0.13385292413301442,0.2938901598982942,12,1000
Google 2019,logistic,satcap_minus_two_snapshots,0.16110298137557233,0.07959170002822158,0.2800515952946946,12,1000
Google 2019,logistic,satcap_minus_maximum,0.016187222053450023,-0.0034153002375070514,0.041945575247029444,12,1000
Google 2019,hist_gradient_boosting,satcap_minus_persistence,0.11778282653248473,0.008083319276035018,0.23524445515052153,12,1000
Google 2019,hist_gradient_boosting,satcap_minus_two_snapshots,0.026981673497481373,-0.09520090608663151,0.15471098881407053,12,1000
Google 2019,hist_gradient_boosting,satcap_minus_maximum,-0.03718821096530556,-0.12856368320654923,0.03993146896013472,12,1000
Alibaba 2018,logistic,satcap_minus_persistence,0.28805842849960483,0.11682269910888332,0.4380340443286872,12,1000
Alibaba 2018,logistic,satcap_minus_two_snapshots,0.09574131574131561,-0.09244828420371898,0.27012157980907986,12,1000
Alibaba 2018,logistic,satcap_minus_maximum,0.0,-1.1102230246251565e-16,1.1102230246251565e-16,12,1000
Alibaba 2018,hist_gradient_boosting,satcap_minus_persistence,0.2120722071809028,0.06749417249417253,0.31454694504064246,12,1000
Alibaba 2018,hist_gradient_boosting,satcap_minus_two_snapshots,0.06838024357967765,-0.18911197196523283,0.25107881836214124,12,1000
Alibaba 2018,hist_gradient_boosting,satcap_minus_maximum,0.04954628275061712,-0.024524538982259585,0.15606990231990225,12,1000
