provider,threshold_quantile,threshold,window_minutes,metric,method,estimate,test_events
Google 2019,0.8,0.504103932046926,30,event_recall,snapshot,0.5977011494252874,435
Google 2019,0.8,0.504103932046926,30,event_recall,mean,0.5379310344827586,435
Google 2019,0.8,0.504103932046926,30,event_recall,p95,0.9356321839080459,435
Google 2019,0.8,0.504103932046926,30,event_recall,maximum,1.0,435
Google 2019,0.8,0.504103932046926,30,forecast_average_precision,persistence,0.5774930357966327,113
Google 2019,0.8,0.504103932046926,30,forecast_average_precision,two_snapshots,0.7362997447043196,113
Google 2019,0.8,0.504103932046926,30,forecast_average_precision,satcap,0.7987916180442309,113
Google 2019,0.9,0.5179171281803661,30,event_recall,snapshot,0.5613382899628253,269
Google 2019,0.9,0.5179171281803661,30,event_recall,mean,0.48698884758364314,269
Google 2019,0.9,0.5179171281803661,30,event_recall,p95,0.9368029739776952,269
Google 2019,0.9,0.5179171281803661,30,event_recall,maximum,1.0,269
Google 2019,0.9,0.5179171281803661,30,forecast_average_precision,persistence,0.5710138259264741,83
Google 2019,0.9,0.5179171281803661,30,forecast_average_precision,two_snapshots,0.7634289066217989,83
Google 2019,0.9,0.5179171281803661,30,forecast_average_precision,satcap,0.8246002745745338,83
Google 2019,0.95,0.528999460609866,30,event_recall,snapshot,0.5178571428571429,168
Google 2019,0.95,0.528999460609866,30,event_recall,mean,0.42857142857142855,168
Google 2019,0.95,0.528999460609866,30,event_recall,p95,0.8928571428571429,168
Google 2019,0.95,0.528999460609866,30,event_recall,maximum,1.0,168
Google 2019,0.95,0.528999460609866,30,forecast_average_precision,persistence,0.6401293658663157,59
Google 2019,0.95,0.528999460609866,30,forecast_average_precision,two_snapshots,0.7967249917517036,59
Google 2019,0.95,0.528999460609866,30,forecast_average_precision,satcap,0.8667089193010841,59
Google 2019,0.99,0.5509037744016557,30,event_recall,snapshot,0.4166666666666667,60
Google 2019,0.99,0.5509037744016557,30,event_recall,mean,0.2833333333333333,60
Google 2019,0.99,0.5509037744016557,30,event_recall,p95,0.8666666666666667,60
Google 2019,0.99,0.5509037744016557,30,event_recall,maximum,1.0,60
Google 2019,0.99,0.5509037744016557,30,forecast_average_precision,persistence,0.3354678620027215,31
Google 2019,0.99,0.5509037744016557,30,forecast_average_precision,two_snapshots,0.5889966516735666,31
Google 2019,0.99,0.5509037744016557,30,forecast_average_precision,satcap,0.6178166874640398,31
Google 2019,0.8,0.504103932046926,60,event_recall,snapshot,0.47735191637630664,287
Google 2019,0.8,0.504103932046926,60,event_recall,mean,0.3797909407665505,287
Google 2019,0.8,0.504103932046926,60,event_recall,p95,0.9128919860627178,287
Google 2019,0.8,0.504103932046926,60,event_recall,maximum,1.0,287
Google 2019,0.8,0.504103932046926,60,forecast_average_precision,persistence,0.5682273891957874,74
Google 2019,0.8,0.504103932046926,60,forecast_average_precision,two_snapshots,0.6608546144841232,74
Google 2019,0.8,0.504103932046926,60,forecast_average_precision,satcap,0.7413042296527559,74
Google 2019,0.9,0.5179171281803661,60,event_recall,snapshot,0.43783783783783786,185
Google 2019,0.9,0.5179171281803661,60,event_recall,mean,0.31351351351351353,185
Google 2019,0.9,0.5179171281803661,60,event_recall,p95,0.8864864864864865,185
Google 2019,0.9,0.5179171281803661,60,event_recall,maximum,1.0,185
Google 2019,0.9,0.5179171281803661,60,forecast_average_precision,persistence,0.5135078819928437,53
Google 2019,0.9,0.5179171281803661,60,forecast_average_precision,two_snapshots,0.606003217248005,53
Google 2019,0.9,0.5179171281803661,60,forecast_average_precision,satcap,0.7424748134837745,53
Google 2019,0.95,0.528999460609866,60,event_recall,snapshot,0.3652173913043478,115
Google 2019,0.95,0.528999460609866,60,event_recall,mean,0.3130434782608696,115
Google 2019,0.95,0.528999460609866,60,event_recall,p95,0.8,115
Google 2019,0.95,0.528999460609866,60,event_recall,maximum,1.0,115
Google 2019,0.95,0.528999460609866,60,forecast_average_precision,persistence,0.586012887002986,36
Google 2019,0.95,0.528999460609866,60,forecast_average_precision,two_snapshots,0.6425115209516614,36
Google 2019,0.95,0.528999460609866,60,forecast_average_precision,satcap,0.8036145023272337,36
Google 2019,0.99,0.5509037744016557,60,event_recall,snapshot,0.21739130434782608,46
Google 2019,0.99,0.5509037744016557,60,event_recall,mean,0.08695652173913043,46
Google 2019,0.99,0.5509037744016557,60,event_recall,p95,0.8043478260869565,46
Google 2019,0.99,0.5509037744016557,60,event_recall,maximum,1.0,46
Google 2019,0.99,0.5509037744016557,60,forecast_average_precision,persistence,0.4150648524209699,23
Google 2019,0.99,0.5509037744016557,60,forecast_average_precision,two_snapshots,0.5957115759163857,23
Google 2019,0.99,0.5509037744016557,60,forecast_average_precision,satcap,0.6974066309140903,23
Google 2019,0.8,0.504103932046926,120,event_recall,snapshot,0.37037037037037035,189
Google 2019,0.8,0.504103932046926,120,event_recall,mean,0.2698412698412698,189
Google 2019,0.8,0.504103932046926,120,event_recall,p95,0.8518518518518519,189
Google 2019,0.8,0.504103932046926,120,event_recall,maximum,1.0,189
Google 2019,0.8,0.504103932046926,120,forecast_average_precision,persistence,0.5352075910643794,47
