vm_id,complete_hours,reconstructed,difference
1,713,713,0
10,400,400,0
100,234,234,0
1000,719,719,0
1001,719,719,0
1002,719,719,0
1003,314,314,0
1004,314,314,0
1005,719,719,0
1006,719,719,0
1007,719,719,0
1008,706,706,0
1009,708,708,0
101,234,234,0
1010,706,706,0
1011,716,716,0
1012,713,713,0
1013,714,714,0
1014,715,715,0
1015,715,715,0
1016,714,714,0
1017,714,714,0
1018,715,715,0
1019,715,715,0
102,708,708,0
1020,712,712,0
1021,713,713,0
1022,715,715,0
1023,713,713,0
1024,706,706,0
1025,706,706,0
1026,707,707,0
1027,715,715,0
1028,712,712,0
1029,714,714,0
103,233,233,0
1030,715,715,0
1031,715,715,0
1032,715,715,0
1033,715,715,0
1034,91,91,0
1035,715,715,0
1036,714,714,0
1037,714,714,0
1038,713,713,0
1039,708,708,0
104,234,234,0
1040,709,709,0
1041,715,715,0
1042,709,709,0
1043,714,714,0
1044,713,713,0
1045,713,713,0
1046,714,714,0
1047,714,714,0
1048,708,708,0
1049,710,710,0
105,710,710,0
1050,709,709,0
1051,707,707,0
1052,160,160,0
1053,710,710,0
1054,704,704,0
1055,712,712,0
1056,711,711,0
1057,541,541,0
1058,706,706,0
1059,706,706,0
106,706,706,0
1060,710,710,0
1061,714,714,0
1062,715,715,0
1063,708,708,0
1064,709,709,0
1065,167,167,0
1066,709,709,0
1067,710,710,0
1068,713,713,0
1069,710,710,0
107,706,706,0
1070,707,707,0
1071,707,707,0
1072,708,708,0
1073,501,501,0
1074,49,0,-49
1075,714,714,0
1076,641,641,0
1077,708,708,0
1078,338,338,0
1079,710,710,0
108,710,710,0
1080,707,707,0
1081,710,710,0
1082,707,707,0
1083,710,710,0
1084,710,710,0
1085,715,715,0
1086,711,711,0
1087,708,708,0
1088,710,710,0
1089,709,709,0
109,709,709,0
1090,710,710,0
1091,715,715,0
1092,714,714,0
1093,713,713,0
1094,714,714,0
1095,710,710,0
1096,710,710,0
1097,714,714,0
1098,713,713,0
1099,714,714,0
11,714,714,0
110,711,711,0
1100,710,710,0
1101,708,708,0
1102,713,713,0
1103,713,713,0
1104,712,712,0
1105,714,714,0
1106,716,716,0
1107,716,716,0
1108,714,714,0
1109,716,716,0
111,707,707,0
1110,715,715,0
1111,713,713,0
1112,709,709,0
1113,233,233,0
1114,714,714,0
1115,707,707,0
1116,711,711,0
1117,710,710,0
1118,706,706,0
1119,706,706,0
112,705,705,0
1120,708,708,0
1121,714,714,0
1122,707,707,0
1123,710,710,0
1124,708,708,0
1125,707,707,0
1126,704,704,0
1127,714,714,0
1128,714,714,0
1129,716,716,0
113,687,687,0
1130,713,713,0
1131,715,715,0
1132,524,524,0
1133,715,715,0
1134,714,714,0
1135,715,715,0
1136,709,709,0
1137,714,714,0
1138,709,709,0
1139,520,520,0
114,710,710,0
1140,710,710,0
1141,713,713,0
1142,707,707,0
1143,714,714,0
1144,541,541,0
1145,716,716,0
1146,710,710,0
1147,713,713,0
1148,707,707,0
1149,713,713,0
115,710,710,0
1150,707,707,0
1151,140,140,0
1152,713,713,0
1153,714,714,0
1154,714,714,0
1155,715,715,0
1156,714,714,0
1157,381,381,0
1158,710,710,0
1159,715,715,0
116,709,709,0
1160,710,710,0
1161,710,710,0
1162,709,709,0
1163,709,709,0
1164,339,339,0
1165,710,710,0
1166,709,709,0
1167,707,707,0
1168,714,714,0
1169,714,714,0
117,710,710,0
1170,714,714,0
1171,713,713,0
1172,714,714,0
1173,710,710,0
1174,715,715,0
1175,715,715,0
1176,713,713,0
1177,710,710,0
1178,715,715,0
1179,710,710,0
118,708,708,0
1180,713,713,0
1181,715,715,0
1182,715,715,0
1183,715,715,0
1184,710,710,0
1185,713,713,0
1186,712,712,0
1187,707,707,0
1188,708,708,0
1189,708,708,0
119,707,707,0
1190,715,715,0
1191,716,716,0
1192,713,713,0
1193,713,713,0
1194,714,714,0
1195,715,715,0
1196,710,710,0
1197,713,713,0
1198,715,715,0
1199,708,708,0
12,714,714,0
120,708,708,0
1200,713,713,0
1201,707,707,0
1202,705,705,0
1203,709,709,0
1204,708,708,0
1205,714,714,0
1206,713,713,0
1207,712,712,0
1208,714,714,0
1209,9,0,-9
121,708,708,0
1210,355,355,0
1211,2,0,-2
1212,349,349,0
1213,90,90,0
1214,521,521,0
1215,710,710,0
1216,715,715,0
1217,713,713,0
1218,417,417,0
