resource,feature_set,train_n,test_n,test_events,prevalence,average_precision,brier,roc_auc
cpu,persistence,532383,228865,2927,0.012789198872697879,0.5188171499220794,0.006234906995224712,0.8672487582821525
cpu,snapshot,532383,228865,2927,0.012789198872697879,0.4557203901284253,0.007834547193872445,0.8245102398348968
cpu,two_snapshots,532383,228865,2927,0.012789198872697879,0.5995550605794894,0.006640250989967724,0.8816238020411905
cpu,maximum,532383,228865,2927,0.012789198872697879,0.5912297429204268,0.006060609400219194,0.9343918292353139
cpu,count,532383,228865,2927,0.012789198872697879,0.6678698858839787,0.006497341675271217,0.8681583641031579
cpu,maximum_count,532383,228865,2927,0.012789198872697879,0.7409305824147657,0.005493429151519073,0.9352173933582095
memory,persistence,547362,235615,429,0.0018207669291004393,0.10553627060605737,0.0016539336357739114,0.6625366220580221
memory,snapshot,547362,235615,429,0.0018207669291004393,0.05753957345218958,0.0017874699763211202,0.508434156672147
memory,two_snapshots,547362,235615,429,0.0018207669291004393,0.14852683480875625,0.0016539410054927821,0.5720126005708481
memory,maximum,547362,235615,429,0.0018207669291004393,0.14908021715698153,0.001649618038233713,0.7239745888177342
memory,count,547362,235615,429,0.0018207669291004393,0.17711054007724653,0.0016753581640095124,0.6626356063524943
memory,maximum_count,547362,235615,429,0.0018207669291004393,0.20332293595892972,0.001616674548343941,0.724018079664249
disk,persistence,561187,241541,28880,0.11956562239950981,0.1762104463906291,0.10159033656134794,0.6053474043964032
disk,snapshot,561187,241541,28880,0.11956562239950981,0.2443411847789416,0.10232021431299629,0.657301614930274
disk,two_snapshots,561187,241541,28880,0.11956562239950981,0.2861695051864662,0.09754183663620196,0.6624109004862679
disk,maximum,561187,241541,28880,0.11956562239950981,0.24314504472486312,0.10138136736912501,0.6762510562960016
disk,count,561187,241541,28880,0.11956562239950981,0.24247848714146147,0.09705090170849343,0.6094745679144631
disk,maximum_count,561187,241541,28880,0.11956562239950981,0.26638103773088784,0.09664392717347652,0.5395705022530689
network,persistence,561187,241541,20557,0.08510770428208876,0.290379288443594,0.0641992121690759,0.7257790848292144
network,snapshot,561187,241541,20557,0.08510770428208876,0.26631190345840344,0.06656597569817368,0.5065009332257157
network,two_snapshots,561187,241541,20557,0.08510770428208876,0.43336171212581,0.06156763239734712,0.7601654706129475
network,maximum,561187,241541,20557,0.08510770428208876,0.3283784676620882,0.06452923957314992,0.6236234157502958
network,count,561187,241541,20557,0.08510770428208876,0.4380429825594071,0.057441441340791655,0.7322740294155206
network,maximum_count,561187,241541,20557,0.08510770428208876,0.46228245741532525,0.05628929303503585,0.6295409398191582
