trial,worker,window,resource,event,snapshot_detected,maximum_detected,maximum,exceedance_count
0,0,0,cpu,True,False,True,0.955,5
0,0,0,memory,True,False,True,1.0,5
0,0,1,cpu,False,False,False,0.396,0
0,0,1,memory,True,False,True,0.69384765625,8
0,0,2,cpu,False,False,False,0.43,0
0,0,2,memory,True,True,True,0.77197265625,20
0,0,3,cpu,True,True,True,0.9570000000000001,8
0,0,3,memory,True,True,True,1.0,8
0,1,0,cpu,False,False,False,0.397,0
0,1,0,memory,True,False,True,0.6949055989583334,14
0,1,1,cpu,True,False,True,0.95,1
0,1,1,memory,True,True,True,0.7808430989583334,18
0,1,2,cpu,True,False,True,0.87,4
0,1,2,memory,True,True,True,0.746337890625,15
0,1,3,cpu,True,True,True,0.951,3
0,1,3,memory,True,True,True,0.746337890625,19
0,2,0,cpu,False,False,False,0.708,0
0,2,0,memory,True,False,True,0.8715006510416666,7
0,2,1,cpu,True,True,True,0.877,5
0,2,1,memory,True,True,True,1.0,13
0,2,2,cpu,True,False,True,0.903,1
0,2,2,memory,True,True,True,0.863037109375,8
0,2,3,cpu,False,False,False,0.433,0
0,2,3,memory,True,False,True,0.7198893229166666,14
0,3,0,cpu,True,False,True,0.99,6
0,3,0,memory,False,False,False,0.6202799479166666,0
0,3,1,cpu,False,False,False,0.6579999999999999,0
0,3,1,memory,True,False,True,0.69580078125,19
0,3,2,cpu,False,False,False,0.633,0
0,3,2,memory,True,True,True,0.7530924479166666,18
0,3,3,cpu,True,False,True,0.9490000000000001,5
0,3,3,memory,True,False,True,0.8290201822916666,9
1,0,0,cpu,True,False,True,0.868,1
1,0,0,memory,True,False,True,0.7823893229166666,1
1,0,1,cpu,True,False,True,0.9520000000000001,2
1,0,1,memory,True,True,True,0.878173828125,5
1,0,2,cpu,True,False,True,0.8759999999999999,5
1,0,2,memory,True,False,True,0.8789876302083334,15
1,0,3,cpu,False,False,False,0.35700000000000004,0
1,0,3,memory,True,True,True,0.8427734375,17
1,1,0,cpu,False,False,False,0.395,0
1,1,0,memory,True,False,True,0.7744140625,14
1,1,1,cpu,True,False,True,0.951,3
1,1,1,memory,True,True,True,0.7744140625,20
1,1,2,cpu,False,False,False,0.396,0
1,1,2,memory,True,True,True,0.7744140625,20
1,1,3,cpu,False,False,False,0.35600000000000004,0
1,1,3,memory,True,True,True,0.7744140625,20
1,2,0,cpu,True,False,True,0.973,7
1,2,0,memory,True,False,True,0.8968098958333334,11
1,2,1,cpu,False,False,False,0.684,0
1,2,1,memory,True,False,True,1.0,14
1,2,2,cpu,False,False,False,0.396,0
1,2,2,memory,True,True,True,0.7355143229166666,17
1,2,3,cpu,True,False,True,0.871,4
1,2,3,memory,True,True,True,0.8818359375,16
1,3,0,cpu,True,False,True,0.997,2
1,3,0,memory,True,False,True,0.7020670572916666,7
1,3,1,cpu,False,False,False,0.632,0
1,3,1,memory,True,True,True,0.7020670572916666,14
1,3,2,cpu,True,False,True,0.87,3
1,3,2,memory,True,True,True,0.7413736979166666,20
1,3,3,cpu,False,False,False,0.505,0
1,3,3,memory,True,True,True,0.7413736979166666,14
2,0,0,cpu,False,False,False,0.293,0
2,0,0,memory,True,False,True,0.8021647135416666,11
2,0,1,cpu,False,False,False,0.386,0
2,0,1,memory,True,False,True,1.0,9
2,0,2,cpu,False,False,False,0.366,0
2,0,2,memory,True,True,True,0.8649088541666666,11
2,0,3,cpu,False,False,False,0.335,0
2,0,3,memory,True,True,True,0.7980143229166666,18
2,1,0,cpu,False,False,False,0.39299999999999996,0
2,1,0,memory,False,False,False,0.618408203125,0
2,1,1,cpu,False,False,False,0.391,0
2,1,1,memory,True,False,True,0.7679036458333334,17
2,1,2,cpu,False,False,False,0.39,0
2,1,2,memory,True,True,True,0.7679036458333334,18
2,1,3,cpu,False,False,False,0.39299999999999996,0
2,1,3,memory,True,True,True,0.740478515625,20
2,2,0,cpu,False,False,False,0.177,0
2,2,0,memory,True,False,True,0.6944986979166666,14
2,2,1,cpu,False,False,False,0.35200000000000004,0
2,2,1,memory,True,True,True,1.0,12
2,2,2,cpu,False,False,False,0.36700000000000005,0
2,2,2,memory,True,True,True,0.8807779947916666,16
2,2,3,cpu,False,False,False,0.198,0
2,2,3,memory,True,True,True,0.775634765625,18
2,3,0,cpu,False,False,False,0.41700000000000004,0
2,3,0,memory,True,False,True,0.669189453125,9
2,3,1,cpu,False,False,False,0.35100000000000003,0
2,3,1,memory,True,True,True,0.744140625,13
2,3,2,cpu,False,False,False,0.11800000000000001,0
2,3,2,memory,True,True,True,0.744140625,20
2,3,3,cpu,False,False,False,0.35600000000000004,0
2,3,3,memory,True,True,True,0.7926432291666666,15
