seed,policy,provisioning_delay_epochs,miss_to_action_cost_ratio,normalized_cost,missed_event_fraction,action_rate
20260727,no_action,0,1,0.62,0.62,0.0
20260727,no_action,1,1,0.62,0.62,0.0
20260727,no_action,2,1,0.62,0.62,0.0
20260727,reactive,0,1,0.72,0.1,0.62
20260727,reactive,1,1,0.74,0.12,0.62
20260727,reactive,2,1,0.78,0.18,0.6
20260727,snapshot,0,1,0.7999999999999999,0.1,0.7
20260727,snapshot,1,1,0.7999999999999999,0.1,0.7
20260727,snapshot,2,1,0.7799999999999999,0.08,0.7
20260727,satcap,0,1,0.72,0.1,0.62
20260727,satcap,1,1,0.74,0.12,0.62
20260727,satcap,2,1,0.78,0.18,0.6
20260728,no_action,0,1,0.32,0.32,0.0
20260728,no_action,1,1,0.32,0.32,0.0
20260728,no_action,2,1,0.32,0.32,0.0
20260728,reactive,0,1,0.44,0.14,0.3
20260728,reactive,1,1,0.42,0.12,0.3
20260728,reactive,2,1,0.48,0.18,0.3
20260728,snapshot,0,1,0.48000000000000004,0.08,0.4
20260728,snapshot,1,1,0.48000000000000004,0.08,0.4
20260728,snapshot,2,1,0.5800000000000001,0.18,0.4
20260728,satcap,0,1,0.44,0.14,0.3
20260728,satcap,1,1,0.42,0.12,0.3
20260728,satcap,2,1,0.48,0.18,0.3
20260729,no_action,0,1,0.56,0.56,0.0
20260729,no_action,1,1,0.56,0.56,0.0
20260729,no_action,2,1,0.56,0.56,0.0
20260729,reactive,0,1,0.68,0.14,0.54
20260729,reactive,1,1,0.74,0.18,0.56
20260729,reactive,2,1,0.78,0.2,0.58
20260729,snapshot,0,1,0.82,0.08,0.74
20260729,snapshot,1,1,0.86,0.1,0.76
20260729,snapshot,2,1,0.9,0.14,0.76
20260729,satcap,0,1,0.8999999999999999,0.08,0.82
20260729,satcap,1,1,0.9,0.1,0.8
20260729,satcap,2,1,0.92,0.12,0.8
20260730,no_action,0,1,0.62,0.62,0.0
20260730,no_action,1,1,0.62,0.62,0.0
20260730,no_action,2,1,0.62,0.62,0.0
20260730,reactive,0,1,0.72,0.1,0.62
20260730,reactive,1,1,0.8,0.18,0.62
20260730,reactive,2,1,0.8,0.18,0.62
20260730,snapshot,0,1,0.88,0.16,0.72
20260730,snapshot,1,1,0.8999999999999999,0.18,0.72
20260730,snapshot,2,1,0.8799999999999999,0.18,0.7
20260730,satcap,0,1,0.72,0.1,0.62
20260730,satcap,1,1,0.8,0.18,0.62
20260730,satcap,2,1,0.8,0.18,0.62
20260731,no_action,0,1,0.54,0.54,0.0
20260731,no_action,1,1,0.54,0.54,0.0
20260731,no_action,2,1,0.54,0.54,0.0
20260731,reactive,0,1,0.64,0.1,0.54
20260731,reactive,1,1,0.66,0.14,0.52
20260731,reactive,2,1,0.7,0.18,0.52
20260731,snapshot,0,1,0.8200000000000001,0.06,0.76
20260731,snapshot,1,1,0.8,0.04,0.76
20260731,snapshot,2,1,0.86,0.1,0.76
20260731,satcap,0,1,0.64,0.1,0.54
20260731,satcap,1,1,0.66,0.14,0.52
20260731,satcap,2,1,0.7,0.18,0.52
20260732,no_action,0,1,0.66,0.66,0.0
