policy,base_summary,trigger_fraction,mean_scalars_per_hour,storage_reduction_vs_full,event_capture,precision,validation,base_scalars,training_risk_quantile,risk_threshold,full_resolution_scalars,test_transitions,test_events,selected_transitions
all_valid,one snapshot,0.0079227390914851,1.0871501300063364,0.9094041558328052,0.4683976768021865,0.7562051847766134,,,,,,,,
all_valid,maximum,0.0081150173705945,1.08926519107654,0.9092279007436216,0.4998291766313631,0.7878298330640818,,,,,,,,
all_valid,two snapshots,0.0078047501474861,2.078047501474862,0.8268293748770948,0.4960710625213529,0.812989921612542,,,,,,,,
all_valid,maximum plus count,0.0079052592479297,2.079052592479297,0.8267456172933919,0.5333105568841817,0.8629076838032061,,,,,,,,
exact_record,one snapshot,0.0079246437625666,1.0871710813882332,0.909402409884314,0.4685577580314422,0.7562051847766134,,,,,,,,
exact_record,maximum,0.0081169682664568,1.0892866509310255,0.9092261124224146,0.5,0.7878298330640818,,,,,,,,
exact_record,two snapshots,0.0078066264533613,2.078066264533613,0.8268278112888656,0.4962406015037593,0.812989921612542,,,,,,,,
exact_record,maximum plus count,0.0079027887053064,2.079027887053064,0.8267476760789113,0.5331510594668489,0.8628318584070797,,,,,,,,
short_interval_payload,one snapshot,0.0064532203812134,1.0709854241933474,0.9107512146505544,0.4600882470918572,0.7380952380952381,temporal,1.0,0.99,0.6048531500297961,12.0,240810.0,2493.0,1554.0
short_interval_payload,maximum,0.0072920559777417,1.0802126157551597,0.9099822820204032,0.5535499398315282,0.785876993166287,temporal,1.0,0.99,0.7922023862522489,12.0,240810.0,2493.0,1756.0
short_interval_payload,two snapshots,0.0064656783356172,2.064656783356173,0.8279452680536522,0.4949859606899318,0.7925497752087347,temporal,2.0,0.99,0.7248046168743438,12.0,240810.0,2493.0,1557.0
short_interval_payload,maximum plus count,0.0065279681076367,2.065279681076367,0.8278933599103028,0.533894905736061,0.8466921119592875,temporal,2.0,0.99,0.7811891746372579,12.0,240810.0,2493.0,1572.0
