policy,validation,scheme,budget_scalars,n,positives,prevalence,mean_log_score,brier,roc_auc,average_precision,alert_fraction,alerts,alert_recall,alert_precision
all_valid,temporal,smoothed_panel_rate,0,228835,2927,0.012790875521664,-0.0382247216477617,0.0101825187067536,0.9568742557499226,0.3175336375086949,0.01,2289,0.3105568841817561,0.3971166448230668
all_valid,temporal,snapshot,1,228835,2927,0.012790875521664,-0.0292847593271217,0.0072812389001045,0.9741010099990272,0.5902238186930617,0.01,2289,0.5418517253160232,0.6928789864569681
all_valid,temporal,mean,1,228835,2927,0.012790875521664,-0.0254383671621817,0.006294602434465,0.9812537383585842,0.6895538029228165,0.01,2289,0.5910488554834301,0.7557885539536916
all_valid,temporal,p95,1,228835,2927,0.012790875521664,-0.0240969134549652,0.0058961799511189,0.9837551345538686,0.6806173691724051,0.01,2289,0.611206012982576,0.781564001747488
all_valid,temporal,maximum,1,228835,2927,0.012790875521664,-0.0241342691420124,0.0060027641970572,0.9841503146374868,0.6735881119656251,0.01,2289,0.6009566108643662,0.7684578418523372
all_valid,temporal,two_snapshots,2,228835,2927,0.012790875521664,-0.0262447629871539,0.0064241854230065,0.9787928233726414,0.6565912797369596,0.01,2289,0.5862658011615989,0.7496723460026212
all_valid,temporal,maximum_count,2,228835,2927,0.012790875521664,-0.0227884177727842,0.0055546623561779,0.9848048232386614,0.7488592328974554,0.01,2289,0.6279467031089853,0.8029707295762342
exact_record,temporal,smoothed_panel_rate,0,228780,2926,0.0127895795086983,-0.0382187749798727,0.0101809651408447,0.9568867510578108,0.317587873895888,0.01,2288,0.3099794941900205,0.3964160839160839
exact_record,temporal,snapshot,1,228780,2926,0.0127895795086983,-0.0292877343394677,0.0072816533036384,0.9740985745961944,0.5901648225097023,0.01,2288,0.5416951469583049,0.6927447552447552
exact_record,temporal,mean,1,228780,2926,0.0127895795086983,-0.0254425712135618,0.0062957020764473,0.9812497209270882,0.6894461708047804,0.01,2288,0.5909090909090909,0.7556818181818182
exact_record,temporal,p95,1,228780,2926,0.0127895795086983,-0.0240998846291799,0.005896531447799,0.9837534388577028,0.6805717077754793,0.01,2288,0.6117566643882434,0.7823426573426573
exact_record,temporal,maximum,1,228780,2926,0.0127895795086983,-0.0241367559762374,0.0060028962098636,0.9841486616354684,0.6735531132864814,0.01,2288,0.6008202323991798,0.7683566433566433
exact_record,temporal,two_snapshots,2,228780,2926,0.0127895795086983,-0.0262477305275942,0.0064247023197619,0.9787885074238554,0.6565313547433536,0.01,2288,0.5861244019138756,0.7495629370629371
exact_record,temporal,maximum_count,2,228780,2926,0.0127895795086983,-0.0227927196423897,0.0055556790703315,0.984802345953856,0.7487858646737272,0.01,2288,0.6278195488721805,0.8028846153846154
short_interval_payload,temporal,smoothed_panel_rate,0,240810,2493,0.0103525601096299,-0.0337091547954886,0.0086509032108025,0.9553562262169184,0.3151433001913367,0.01,2409,0.3477737665463297,0.3599003735990037
short_interval_payload,temporal,snapshot,1,240810,2493,0.0103525601096299,-0.024845229870909,0.0060850461665073,0.9730959581838736,0.5754502362225551,0.01,2409,0.5904532691536302,0.6110419261104193
short_interval_payload,temporal,mean,1,240810,2493,0.0103525601096299,-0.0213506593804416,0.0052136623665926,0.9807338904231724,0.6769866371347714,0.01,2409,0.6454071399919775,0.6679119966791199
short_interval_payload,temporal,p95,1,240810,2493,0.0103525601096299,-0.0201517972927012,0.0048915084648574,0.9833214795003472,0.6731729595733773,0.01,2409,0.6891295627757722,0.7131589871315899
short_interval_payload,temporal,maximum,1,240810,2493,0.0103525601096299,-0.0202186026941418,0.0050019251506005,0.9837296163292136,0.6667135439853167,0.01,2409,0.6787003610108303,0.7023661270236613
short_interval_payload,temporal,two_snapshots,2,240810,2493,0.0103525601096299,-0.0220546990026725,0.0053365975963962,0.9780269551043648,0.6477536020973294,0.01,2409,0.653830726032892,0.6766293067662931
short_interval_payload,temporal,maximum_count,2,240810,2493,0.0103525601096299,-0.01923398514254,0.0046649620560071,0.9843046761456968,0.7364252648193974,0.01,2409,0.6899318090653831,0.7139892071398921
