model,feature_set,train_n,test_n,test_events,average_precision,brier,mean_log_score,roc_auc,calibration_intercept,calibration_slope
baseline,global_prior,532319,228835,2927,0.012790875521664082,0.012633405526635557,-0.06868036270576353,0.5,0.5846434670342555,1.1834077322225875
baseline,panel_prior,532319,228835,2927,0.31753363750869495,0.010182518706753652,-0.03822472164776173,0.9568742557499226,-0.3380626298065331,0.9786644522139538
logistic,persistence,532319,228835,2927,0.5188175881306408,0.00623572282160093,-0.03077676748195466,0.8672484832102589,-0.2471301305998055,0.9481058557216546
hist_gradient_boosting,persistence,532319,228835,2927,0.5188175881306408,0.006233890754792479,-0.030771543153797487,0.8672484832102589,-0.24249753527342255,0.9491572237567382
logistic,snapshot,532319,228835,2927,0.45572050225797445,0.007835573011080862,-0.03870573053010842,0.8244898154736796,-0.2806290910394906,0.9399731089626957
hist_gradient_boosting,snapshot,532319,228835,2927,0.4863580321306724,0.007752861537991437,-0.035250665038619934,0.9388416422517121,-0.2675532658269542,0.9526859416973936
logistic,two_snapshots,532319,228835,2927,0.5995547371618577,0.006641117511186085,-0.031988351911399086,0.8816101425326328,-0.2086916697842296,0.9471170873575918
hist_gradient_boosting,two_snapshots,532319,228835,2927,0.6415534582189251,0.00630996071044294,-0.02805577548339614,0.9613547637893948,-0.1555789184204233,0.9732454382877064
logistic,maximum,532319,228835,2927,0.5912298143419142,0.00641951686039693,-0.027885184680673483,0.9343855091404762,-0.09955286880781312,0.9517120477843701
hist_gradient_boosting,maximum,532319,228835,2927,0.5801585309759554,0.006087278675585956,-0.02573475086117056,0.9673294235489702,-0.13514623896808686,0.9572649191621411
logistic,count,532319,228835,2927,0.66787032409254,0.006498175576662714,-0.034420405982685545,0.8681582098245725,-0.7003224544001952,0.8683289648566332
hist_gradient_boosting,count,532319,228835,2927,0.6667557615064024,0.005585765869616713,-0.028922300162157327,0.868148848521282,-0.25253304933022863,0.9478061852210218
logistic,maximum_event,532319,228835,2927,0.5912298143419142,0.006061402016173456,-0.02671214917849024,0.9343855091404762,-0.1763641646619075,0.943268223108211
hist_gradient_boosting,maximum_event,532319,228835,2927,0.5808066937046555,0.006082365152376729,-0.025725795801852244,0.9676664448345292,-0.13704118024936063,0.9567441755806189
logistic,maximum_count,532319,228835,2927,0.7412760566806145,0.005490065533306512,-0.02520346820198518,0.9352133364496139,-0.17864014899339622,0.9426777243740923
hist_gradient_boosting,maximum_count,532319,228835,2927,0.7378131161410099,0.00541328911949527,-0.023831346264857695,0.9676385469408625,-0.1888088232292178,0.9506557715099068
logistic,satcap,532319,228835,2927,0.7409306538362531,0.005494148841433093,-0.025210387528145306,0.9352111828961591,-0.1851505432148154,0.9428809198603281
hist_gradient_boosting,satcap,532319,228835,2927,0.7378131161410099,0.00541328911949527,-0.023831346264857695,0.9676385469408625,-0.1888088232292178,0.9506557715099068
