analysis,resource,feature_set,train_panel,test_panel,train_n,test_n,test_events,prevalence,average_precision,brier,roc_auc,ece_10
independent_rnd,cpu,persistence,GWA-T-12-Rnd,GWA-T-12-Rnd,664347,284314,2453,0.008627784773173322,0.53106062148391,0.00408304043566438,0.8710777941357566,0.0005109687013554743
frozen_faststorage_to_rnd,cpu,persistence,GWA-T-12-fastStorage,GWA-T-12-Rnd,532319,284314,2453,0.008627784773173322,0.53106062148391,0.004082102956486379,0.8710777941357566,0.0014287218341099432
independent_rnd,cpu,snapshot,GWA-T-12-Rnd,GWA-T-12-Rnd,664347,284314,2453,0.008627784773173322,0.4742020305564789,0.005072424489202579,0.8411824462377033,0.0019376230324610357
frozen_faststorage_to_rnd,cpu,snapshot,GWA-T-12-fastStorage,GWA-T-12-Rnd,532319,284314,2453,0.008627784773173322,0.4742020401362695,0.005105106460970987,0.8411824476840335,0.0032368078110804575
independent_rnd,cpu,two_snapshots,GWA-T-12-Rnd,GWA-T-12-Rnd,664347,284314,2453,0.008627784773173322,0.5957444620376023,0.004357972191869484,0.8829965394538861,0.0012468375345681582
frozen_faststorage_to_rnd,cpu,two_snapshots,GWA-T-12-fastStorage,GWA-T-12-Rnd,532319,284314,2453,0.008627784773173322,0.5917636215540796,0.004376198691026388,0.8830692349038771,0.002025826673760835
independent_rnd,cpu,maximum,GWA-T-12-Rnd,GWA-T-12-Rnd,664347,284314,2453,0.008627784773173322,0.5736608376628257,0.004058366357914568,0.9218030475343675,0.0005649289155917443
frozen_faststorage_to_rnd,cpu,maximum,GWA-T-12-fastStorage,GWA-T-12-Rnd,532319,284314,2453,0.008627784773173322,0.5736608376628258,0.00408269282030936,0.9218030468112023,0.0012809840931223052
independent_rnd,cpu,count,GWA-T-12-Rnd,GWA-T-12-Rnd,664347,284314,2453,0.008627784773173322,0.6921972626004443,0.0039779034130634746,0.8717584841474534,0.0009876055471220143
frozen_faststorage_to_rnd,cpu,count,GWA-T-12-fastStorage,GWA-T-12-Rnd,532319,284314,2453,0.008627784773173322,0.6921972626004443,0.003962888775415858,0.8717584841474534,0.002473862962182958
independent_rnd,cpu,maximum_count,GWA-T-12-Rnd,GWA-T-12-Rnd,664347,284314,2453,0.008627784773173322,0.7376793423560435,0.003530589676485157,0.9224858065214576,0.0007374413104423074
frozen_faststorage_to_rnd,cpu,maximum_count,GWA-T-12-fastStorage,GWA-T-12-Rnd,532319,284314,2453,0.008627784773173322,0.7376428095785746,0.0035390360347934595,0.9224856835833881,0.0014349059177534984
independent_rnd,memory,persistence,GWA-T-12-Rnd,GWA-T-12-Rnd,682206,292190,437,0.001495602176665868,0.17228932322610632,0.001241520200146217,0.7032414515143335,0.00030726197996146324
frozen_faststorage_to_rnd,memory,persistence,GWA-T-12-fastStorage,GWA-T-12-Rnd,547362,292190,437,0.001495602176665868,0.17228932322610632,0.0012388430857693204,0.7032414515143335,0.0004021535192867302
independent_rnd,memory,snapshot,GWA-T-12-Rnd,GWA-T-12-Rnd,682206,292190,437,0.001495602176665868,0.21331868289475786,0.0013154396348212503,0.6518042075041048,0.00029301973776327495
frozen_faststorage_to_rnd,memory,snapshot,GWA-T-12-fastStorage,GWA-T-12-Rnd,547362,292190,437,0.001495602176665868,0.21331868289475786,0.0013105112346417736,0.6518042075041047,0.00040967650946389326
independent_rnd,memory,two_snapshots,GWA-T-12-Rnd,GWA-T-12-Rnd,682206,292190,437,0.001495602176665868,0.23866616687173534,0.0012780422552109687,0.7050229104725048,0.0003644058200967292
frozen_faststorage_to_rnd,memory,two_snapshots,GWA-T-12-fastStorage,GWA-T-12-Rnd,547362,292190,437,0.001495602176665868,0.2340529055204904,0.0012927180736695065,0.7062228691127956,0.0005447769512100004
independent_rnd,memory,maximum,GWA-T-12-Rnd,GWA-T-12-Rnd,682206,292190,437,0.001495602176665868,0.24583461148755212,0.0012314170308074736,0.7927909984607289,0.0002711128971931214
frozen_faststorage_to_rnd,memory,maximum,GWA-T-12-fastStorage,GWA-T-12-Rnd,547362,292190,437,0.001495602176665868,0.24583461148755212,0.0012304664792659498,0.7927909984607289,0.0004297787013359863
independent_rnd,memory,count,GWA-T-12-Rnd,GWA-T-12-Rnd,682206,292190,437,0.001495602176665868,0.3182751255693632,0.0011723724180297294,0.7033476391086311,0.00023416333991015
frozen_faststorage_to_rnd,memory,count,GWA-T-12-fastStorage,GWA-T-12-Rnd,547362,292190,437,0.001495602176665868,0.3182751255693632,0.0011847177821716348,0.7033476391086311,0.000489980968816546
independent_rnd,memory,maximum_count,GWA-T-12-Rnd,GWA-T-12-Rnd,682206,292190,437,0.001495602176665868,0.3726809582149055,0.001124946484435234,0.7928578554281767,0.000261004277935234
