analysis,resource,feature_set,vm_count,ap_eligible_vm_count,bootstrap_replicates,mean_vm_ap_difference_vs_persistence,ap_difference_ci_low,ap_difference_ci_high,mean_vm_brier_improvement_vs_persistence,brier_improvement_ci_low,brier_improvement_ci_high
independent,cpu,snapshot,500,84,2000,0.023366727825069662,0.003048825348644947,0.04246999454510242,-0.0012212096793321864,-0.002577529515852754,-0.00030431691599062266
independent,cpu,two_snapshots,500,84,2000,0.0781519074614412,0.059611296198290725,0.09738198222932441,-0.00042319006242062064,-0.0015608055551687798,0.00029043606624502377
independent,cpu,maximum,500,84,2000,0.09323815826125507,0.07521345004178497,0.112909388895157,5.993415520516797e-05,9.71321062617457e-08,0.00011315248227883642
independent,cpu,count,500,84,2000,0.06836314794057244,0.046875710730598215,0.09329926712241975,-0.00015192297384961174,-0.0021193374957134393,0.001016617500141039
independent,cpu,maximum_count,500,84,2000,0.13985543231649938,0.11355745767208299,0.16838093666407286,0.000677362751934135,0.0001538586407992276,0.0011044879745530148
frozen_transfer,cpu,snapshot,500,84,2000,0.023366727825069662,0.003048825348644947,0.04246999454510242,-0.0012376378731336572,-0.002551981477141361,-0.0003388014401625173
frozen_transfer,cpu,two_snapshots,500,84,2000,0.07740946438754519,0.05914585192294283,0.09671895336636385,-0.00043782513917546605,-0.0015687029391393073,0.0002750825425311443
frozen_transfer,cpu,maximum,500,84,2000,0.09323815826125507,0.07521345004178497,0.112909388895157,3.644477617990861e-05,-4.644279662836751e-05,0.00010571181050512165
frozen_transfer,cpu,count,500,84,2000,0.06836314794057244,0.046875710730598215,0.09329926712241975,-0.00012851348042639031,-0.0020683999940585896,0.0010267117296223604
frozen_transfer,cpu,maximum_count,500,84,2000,0.13982759905321676,0.11351128117935981,0.1683935263704334,0.0006696902583680249,0.00011504940494578883,0.0011201110342746305
independent,memory,snapshot,500,72,2000,-0.003144800473909212,-0.030192459845268155,0.023224516826464685,-7.711278440026444e-05,-0.00013613247177120873,-2.6423191232706737e-05
independent,memory,two_snapshots,500,72,2000,0.0402581782822493,0.014088736915628682,0.06582269091978561,-4.0441931413077146e-05,-8.527599416365384e-05,5.531853070961531e-07
independent,memory,maximum,500,72,2000,0.0950830527187473,0.07008285610612415,0.12315102016641462,9.787643402480943e-06,3.3442971303069e-06,1.7872163254104328e-05
