panel,resource,scheme,windows,vm_count,event_windows,event_recall,false_positive_rate
GWA-T-12-fastStorage,cpu,snapshot,774759,1246,13193,0.629197301599333,0.0
GWA-T-12-fastStorage,cpu,mean,774759,1246,13193,0.4115061017206094,0.0
GWA-T-12-fastStorage,cpu,p95,774759,1246,13193,0.8843326006215417,0.0
GWA-T-12-fastStorage,cpu,maximum,774759,1246,13193,1.0,0.0
GWA-T-12-Rnd,cpu,snapshot,963340,500,10900,0.6110091743119266,0.0
GWA-T-12-Rnd,cpu,mean,963340,500,10900,0.4004587155963303,0.0
GWA-T-12-Rnd,cpu,p95,963340,500,10900,0.846605504587156,0.0
GWA-T-12-Rnd,cpu,maximum,963340,500,10900,1.0,0.0
GWA-T-12-fastStorage,memory,snapshot,792754,1239,960,0.1625,0.0
GWA-T-12-fastStorage,memory,mean,792754,1239,960,0.017708333333333333,0.0
GWA-T-12-fastStorage,memory,p95,792754,1239,960,0.6333333333333333,0.0
GWA-T-12-fastStorage,memory,maximum,792754,1239,960,1.0,0.0
GWA-T-12-Rnd,memory,snapshot,985076,500,1181,0.22946655376799321,0.0
GWA-T-12-Rnd,memory,mean,985076,500,1181,0.11346316680779,0.0
GWA-T-12-Rnd,memory,p95,985076,500,1181,0.5639288738357324,0.0
GWA-T-12-Rnd,memory,maximum,985076,500,1181,1.0,0.0
GWA-T-12-fastStorage,disk,snapshot,811724,1246,84676,0.18835325239737352,0.0
GWA-T-12-fastStorage,disk,mean,811724,1246,84676,0.0962256129245595,0.0
GWA-T-12-fastStorage,disk,p95,811724,1246,84676,0.5068260191789882,0.0
GWA-T-12-fastStorage,disk,maximum,811724,1246,84676,1.0,0.0
GWA-T-12-Rnd,disk,snapshot,989579,500,94121,0.20968752988174796,0.0
GWA-T-12-Rnd,disk,mean,989579,500,94121,0.1104535650917436,0.0
GWA-T-12-Rnd,disk,p95,989579,500,94121,0.5230926148255969,0.0
GWA-T-12-Rnd,disk,maximum,989579,500,94121,1.0,0.0
GWA-T-12-fastStorage,network,snapshot,811724,1246,55990,0.3327915699232006,0.0
GWA-T-12-fastStorage,network,mean,811724,1246,55990,0.19283800678692622,0.0
GWA-T-12-fastStorage,network,p95,811724,1246,55990,0.6075191998571173,0.0
GWA-T-12-fastStorage,network,maximum,811724,1246,55990,1.0,0.0
GWA-T-12-Rnd,network,snapshot,989579,500,59274,0.2920842190505112,0.0
GWA-T-12-Rnd,network,mean,989579,500,59274,0.2046765866990586,0.0
GWA-T-12-Rnd,network,p95,989579,500,59274,0.597968755272126,0.0
GWA-T-12-Rnd,network,maximum,989579,500,59274,1.0,0.0
