analysis,resource,feature_set,intercept,coefficients
independent_rnd,cpu,persistence,-6.055023116169679,[0.7463799761223971]
frozen_faststorage_to_rnd,cpu,persistence,-5.624540286052074,[0.8619095989085757]
independent_rnd,cpu,snapshot,-5.772797716243035,"[0.7358558683295084, 0.11915788893772296]"
frozen_faststorage_to_rnd,cpu,snapshot,-5.3907920000863365,"[0.8053775120425472, 0.13037547429818755]"
independent_rnd,cpu,two_snapshots,-6.144244558215801,"[-0.030110341974532683, 0.1766644654524982, 0.6828274472958502, 0.14706166615550567]"
frozen_faststorage_to_rnd,cpu,two_snapshots,-5.783773196477551,"[-0.036249209286191124, 0.15009291199690944, 0.7858096901999873, 0.17344903079753762]"
independent_rnd,cpu,maximum,-6.506307884703934,"[0.7762967460739268, 0.27470673001503665]"
frozen_faststorage_to_rnd,cpu,maximum,-6.247719819385491,"[0.9075441341680401, 0.292614429747661]"
independent_rnd,cpu,count,-5.543510533997618,[0.9500968243310377]
frozen_faststorage_to_rnd,cpu,count,-5.155568304276566,[1.0823574151650261]
independent_rnd,cpu,maximum_count,-6.513093386481097,"[0.78039354828996, 0.25445391556969527, 0.10022295312095215]"
frozen_faststorage_to_rnd,cpu,maximum_count,-6.2194129726672145,"[0.8984665501356454, 0.3106730574132841, 0.07581558293208342]"
independent_rnd,memory,persistence,-7.336864662103694,[0.2228398789337441]
frozen_faststorage_to_rnd,memory,persistence,-7.5870561555965645,[0.2237373799904352]
independent_rnd,memory,snapshot,-7.155641802173309,"[0.5246838664768565, 0.05058479360897759]"
frozen_faststorage_to_rnd,memory,snapshot,-7.38420418666167,"[0.6274363031851802, 0.03419420753790596]"
independent_rnd,memory,two_snapshots,-7.406201700913712,"[-0.43746418327686937, 0.1082521042728562, 0.9915985690342786, 0.05455813861449407]"
frozen_faststorage_to_rnd,memory,two_snapshots,-7.656975188276347,"[-0.3477282880273635, 0.005040801373835838, 1.0941262684363162, 0.038546813526295014]"
independent_rnd,memory,maximum,-7.744703818941699,"[0.7698632010332697, 0.10996633554181365]"
frozen_faststorage_to_rnd,memory,maximum,-8.028127400448923,"[0.8005346604346821, 0.12012365363395251]"
independent_rnd,memory,count,-6.998299958362796,[0.2553764655565355]
frozen_faststorage_to_rnd,memory,count,-7.355248205969198,[0.24923854153465716]
independent_rnd,memory,maximum_count,-7.714044049924891,"[0.7809164913420484, 0.040577315844527624, 0.07977970011980312]"
frozen_faststorage_to_rnd,memory,maximum_count,-8.03147021557134,"[0.7952774962281711, 0.05102061493739276, 0.08152883917468674]"
independent_rnd,disk,persistence,-2.385334742707152,[0.331688353838543]
frozen_faststorage_to_rnd,disk,persistence,-2.2752798662936637,[0.32835935827058055]
independent_rnd,disk,snapshot,-2.348022824507933,"[0.02831630575736396, 0.16811105949669214]"
frozen_faststorage_to_rnd,disk,snapshot,-2.2364468041778127,"[0.047380805193645764, 0.13638108364281426]"
independent_rnd,disk,two_snapshots,-2.4025959642727295,"[1.4801982521008892, 1.4586903793290518, -2.0354518014424317, 0.17371468249579386]"
frozen_faststorage_to_rnd,disk,two_snapshots,-2.3061063748927384,"[1.6149618863350632, 1.3988125801505324, -2.0681051535446078, 0.13013736396247272]"
independent_rnd,disk,maximum,-2.385108775102709,"[0.012464740240715415, 0.3279573020361109]"
frozen_faststorage_to_rnd,disk,maximum,-2.275247285708074,"[0.012842427980113438, 0.3245859389756017]"
independent_rnd,disk,count,-2.370549904266806,[0.3288546910149205]
frozen_faststorage_to_rnd,disk,count,-2.261610670318608,[0.3690389442217983]
independent_rnd,disk,maximum_count,-2.3876199504878506,"[-0.006824957759814879, 0.17593362582673838, 0.19290025836720215]"
frozen_faststorage_to_rnd,disk,maximum_count,-2.2775372238156777,"[-0.008102182006978492, 0.2119766276616977, 0.17499126325798917]"
independent_rnd,network,persistence,-3.057586818385305,[0.54670166293743]
frozen_faststorage_to_rnd,network,persistence,-2.9425650240052437,[0.5821076962622426]
independent_rnd,network,snapshot,-2.9025172583223684,"[0.003664014066705773, 0.2648672348266496]"
frozen_faststorage_to_rnd,network,snapshot,-2.814379593873347,"[-0.00771013078006336, 0.3722557137491195]"
independent_rnd,network,two_snapshots,-2.9758994274219983,"[1.613345902082567, 1.2707380779976536, -2.000982501640781, 0.26761107446378646]"
frozen_faststorage_to_rnd,network,two_snapshots,-2.901306926150511,"[1.6372896331482443, 1.3263542883011135, -2.0935984001504386, 0.3492357332288748]"
independent_rnd,network,maximum,-3.058974583491532,"[-0.006646257773648186, 0.5490402731195151]"
frozen_faststorage_to_rnd,network,maximum,-2.943828688219971,"[-0.022541759588165712, 0.5888596792515884]"
independent_rnd,network,count,-2.971139400386845,[0.5976413766384276]
frozen_faststorage_to_rnd,network,count,-2.8532837445386035,[0.9156092595976997]
independent_rnd,network,maximum_count,-3.0602742728388033,"[-0.017161254860665973, 0.21495800319022815, 0.4018600246554001]"
frozen_faststorage_to_rnd,network,maximum_count,-2.9380747398859226,"[-0.011930817190187796, 0.446736101772986, 0.33388514112645373]"
