method,operation,windows,observations,repetitions,median_seconds,min_seconds,max_seconds,million_observations_per_second,checksum
snapshot,stream_update_and_finalize,100000,1200000,5,0.18867837600009807,0.18715336000059324,0.22047885000029055,6.360029301923694,28244
mean,stream_update_and_finalize,100000,1200000,5,0.20140861500021856,0.1995432619996791,0.20352733500021714,5.958037097860475,23602
exact_p95,stream_update_and_finalize,100000,1200000,5,0.6272787620000599,0.6256661429997621,0.7365120040003603,1.9130250738504762,20017
maximum,stream_update_and_finalize,100000,1200000,5,0.19763284600048792,0.19554560300002777,0.2103698290002285,6.071865199962953,23060
maximum_plus_count,stream_update_and_finalize,100000,1200000,5,0.21371834699948522,0.2114067510001405,0.2357837709996602,5.61486656081469,15381
log_sketch,stream_update_and_finalize,100000,1200000,5,0.4579830339998807,0.4502825939998729,0.7196379460001481,2.620184397486464,41095
mean,merge_two_partial_states,50000,600000,5,0.03487250000034692,0.03455453799961106,0.03931277199990291,17.205534446742593,27591
exact_p95,merge_two_partial_states,50000,600000,5,0.24563378200036823,0.23922370600030263,0.2716268250005669,2.4426607574649504,13577
maximum,merge_two_partial_states,50000,600000,5,0.03400148499986244,0.033773736000512145,0.03433192599914037,17.646288096017788,707
maximum_plus_count,merge_two_partial_states,50000,600000,5,0.03613891399982094,0.03585067499989236,0.03946646500025963,16.6026018380899,21941
log_sketch,merge_two_partial_states,50000,600000,5,0.09353393600031268,0.09210983299999498,0.09677813999951468,6.414784041569621,6615
