provider,miss_to_action_cost_ratio,policy,normalized_cost,miss_rate,action_rate
Google 2019,2,snapshot,0.31683168316831684,0.10891089108910891,0.09900990099009901
Google 2019,2,maximum,0.2722772277227723,0.07920792079207921,0.11386138613861387
Google 2019,2,two_snapshots,0.297029702970297,0.10396039603960396,0.0891089108910891
Google 2019,2,maximum_count,0.2722772277227723,0.07425742574257425,0.12376237623762376
Google 2019,2,no_action,0.3564356435643564,0.1782178217821782,0.0
Google 2019,2,reactive_previous_event,0.2722772277227723,0.04950495049504951,0.17326732673267325
Google 2019,2,oracle_next_event,0.1782178217821782,0.0,0.1782178217821782
Google 2019,5,snapshot,0.6435643564356436,0.10891089108910891,0.09900990099009901
Google 2019,5,maximum,0.5099009900990099,0.07920792079207921,0.11386138613861387
Google 2019,5,two_snapshots,0.6089108910891089,0.10396039603960396,0.0891089108910891
Google 2019,5,maximum_count,0.49504950495049505,0.07425742574257425,0.12376237623762376
Google 2019,5,no_action,0.8910891089108911,0.1782178217821782,0.0
Google 2019,5,reactive_previous_event,0.4207920792079208,0.04950495049504951,0.17326732673267325
Google 2019,5,oracle_next_event,0.1782178217821782,0.0,0.1782178217821782
Google 2019,10,snapshot,1.1881188118811883,0.10891089108910891,0.09900990099009901
Google 2019,10,maximum,0.905940594059406,0.07920792079207921,0.11386138613861387
Google 2019,10,two_snapshots,1.1287128712871288,0.10396039603960396,0.0891089108910891
Google 2019,10,maximum_count,0.8663366336633663,0.07425742574257425,0.12376237623762376
Google 2019,10,no_action,1.7821782178217822,0.1782178217821782,0.0
Google 2019,10,reactive_previous_event,0.6683168316831682,0.04950495049504951,0.17326732673267325
Google 2019,10,oracle_next_event,0.1782178217821782,0.0,0.1782178217821782
Google 2019,20,snapshot,2.2772277227722775,0.10891089108910891,0.09900990099009901
Google 2019,20,maximum,1.6980198019801982,0.07920792079207921,0.11386138613861387
Google 2019,20,two_snapshots,2.1683168316831685,0.10396039603960396,0.0891089108910891
Google 2019,20,maximum_count,1.608910891089109,0.07425742574257425,0.12376237623762376
Google 2019,20,no_action,3.5643564356435644,0.1782178217821782,0.0
Google 2019,20,reactive_previous_event,1.1633663366336633,0.04950495049504951,0.17326732673267325
Google 2019,20,oracle_next_event,0.1782178217821782,0.0,0.1782178217821782
Alibaba 2018,2,snapshot,0.4107142857142857,0.17857142857142858,0.05357142857142857
Alibaba 2018,2,maximum,0.3928571428571429,0.16071428571428573,0.07142857142857142
Alibaba 2018,2,two_snapshots,0.41071428571428575,0.16071428571428573,0.08928571428571429
