provider,policy,training_risk_quantile,risk_threshold,actions,action_rate,events,missed_events,event_prevention_fraction,precision
Google 2019,snapshot,0.95,0.21458051146962787,20,0.09900990099009901,36,22,0.38888888888888884,0.7
Google 2019,maximum,0.95,0.5082903319299654,23,0.11386138613861387,36,16,0.5555555555555556,0.8695652173913043
Google 2019,two_snapshots,0.95,0.5425417293757662,18,0.0891089108910891,36,21,0.41666666666666663,0.8333333333333334
Google 2019,maximum_count,0.95,0.5011422659546311,25,0.12376237623762376,36,15,0.5833333333333333,0.84
Google 2019,no_action,,,0,0.0,36,36,0.0,0.0
Google 2019,reactive_previous_event,,,35,0.17326732673267325,36,10,0.7222222222222222,0.7428571428571429
Google 2019,oracle_next_event,,,36,0.1782178217821782,36,0,1.0,1.0
Alibaba 2018,snapshot,0.95,0.6816085649896615,3,0.05357142857142857,12,10,0.16666666666666663,0.6666666666666666
Alibaba 2018,maximum,0.95,0.730327205384904,4,0.07142857142857142,12,9,0.25,0.75
Alibaba 2018,two_snapshots,0.95,0.7144311822515376,5,0.08928571428571429,12,9,0.25,0.6
Alibaba 2018,maximum_count,0.95,0.8829680851107227,3,0.05357142857142857,12,9,0.25,1.0
Alibaba 2018,no_action,,,0,0.0,12,12,0.0,0.0
Alibaba 2018,reactive_previous_event,,,12,0.21428571428571427,12,5,0.5833333333333333,0.5833333333333334
Alibaba 2018,oracle_next_event,,,12,0.21428571428571427,12,0,1.0,1.0
Bitbrains VM panel,snapshot,0.99,0.5983126502038537,1813,0.007922739091485132,2927,1556,0.4683976768021866,0.7562051847766134
Bitbrains VM panel,maximum,0.99,0.7891095134886911,1857,0.008115017370594533,2927,1464,0.49982917663136317,0.7878298330640818
Bitbrains VM panel,two_snapshots,0.99,0.7147936111802597,1786,0.00780475014748618,2927,1475,0.4960710625213529,0.812989921612542
Bitbrains VM panel,maximum_count,0.99,0.7749890289652183,1809,0.007905259247929732,2927,1366,0.5333105568841818,0.8629076838032061
Bitbrains VM panel,no_action,,,0,0.0,2927,2927,0.0,0.0
Bitbrains VM panel,reactive_previous_event,,,3098,0.013538138833657438,2927,765,0.7386402459856508,0.697869593285991
Bitbrains VM panel,oracle_next_event,,,2927,0.012790875521664082,2927,0,1.0,1.0
